witness,year,idx,id,raw_id,is_kalend,n_words,SCOT,SCOT_AMBIG,INSULAR,MIDLAND,MUNSTER,TERRITORY,IONA,sha1
AI,634,1,AI634.1,AI634.1,0,9,0,0,0,0,0,0,0,d04d8e2dd9f2
AI,634,2,AI634.2,AI634.2,0,6,0,0,0,0,0,0,0,308ab82a0718
AI,634,3,AI634.3,AI634.3,0,6,0,0,0,0,0,0,0,e9fa1cfb35a7
AI,635,1,AI635.1,AI635.1,0,12,0,0,0,0,0,0,0,a7dece6583ff
AI,636,1,AI636.1,AI636.1,0,12,0,0,0,0,0,0,0,1b4830c9ab82
AI,636,2,AI636.2,AI636.2,0,6,0,0,0,0,0,0,0,5f47a7fa36da
AI,636,3,AI636.3,AI636.3,0,8,0,0,0,1,0,0,0,937b54b477d1
AI,636,4,AI636.4,AI636.4,0,12,0,0,0,0,0,0,0,f050def6cc13
AI,637,1,AI637.1,AI637.1,0,20,0,0,0,0,0,0,0,e2f2f9953e54
AI,637,2,AI637.2,AI637.2,0,27,0,0,0,0,1,0,0,e95e327f8810
AI,637,3,AI637.3,AI637.3,0,8,0,0,0,0,0,0,0,445eb78ec02b
AI,638,1,AI638.1,AI638.1,0,8,0,0,0,0,0,0,0,db86813d3236
AI,638,2,AI638.2,AI638.2,0,4,0,0,0,0,0,0,0,17000ffd66b5
AI,638,1,AI638.1,AI639.1,0,12,0,0,0,0,0,0,0,d52645a7185f
AI,638,2,AI638.2,AI639.2,0,6,0,0,0,0,0,0,0,433dd7fe1a79
AI,638,3,AI638.3,AI639.3,0,8,0,0,0,0,0,0,0,52a02281be72
AI,640,1,AI640.1,AI640.1,0,8,0,0,0,1,0,0,0,8a6c0470cfa8
AI,641,1,AI641.1,AI641.1,0,29,0,0,0,0,0,0,0,51d5246f600e
AI,642,1,AI642.1,AI642.1,0,14,0,0,0,0,0,0,0,d4eb8b4fbf58
AI,643,1,AI643.1,AI643.1,0,13,0,0,0,0,0,0,0,32ceb12d17de
AI,644,1,AI644.1,AI644.1,0,13,0,0,1,0,0,0,0,dbc564546208
AI,645,1,AI645.1,AI645.1,0,26,0,0,0,0,0,0,0,7d2595b0562f
AI,645,2,AI645.2,AI645.2,0,8,0,0,0,0,0,0,0,6b586dc3036c
AI,645,3,AI645.3,AI645.3,0,8,0,0,0,0,0,0,0,207b8c732dc2
AI,646,1,AI646.1,AI646.1,0,14,0,0,0,0,0,0,0,f0252444d2a4
AI,646,2,AI646.2,AI646.2,0,11,0,0,0,0,0,0,0,e432ebcd19e7
AI,646,3,AI646.3,AI646.3,0,8,0,0,0,0,0,0,0,64da9132c46c
AI,647,1,AI647.1,AI647.1,0,16,0,0,0,0,0,0,0,93e4049dbcd2
AI,647,2,AI647.2,AI647.2,0,9,0,0,0,0,0,0,0,88e912c2995e
AI,648,1,AI648.1,AI648.1,0,9,0,0,0,0,0,0,0,e733920f8b7c
AI,649,1,AI649.1,AI649.1,0,29,0,0,0,0,0,0,0,3aa5dc0032f6
AI,649,2,AI649.2,AI649.2,0,10,0,0,0,0,0,0,0,09752dd3a34e
AI,649,3,AI649.3,AI649.3,0,26,0,0,0,0,0,0,0,698d2f030a75
AI,652,1,AI652.1,AI652.1,0,15,1,0,0,0,0,0,1,c9cb1f2e5acd
AI,653,1,AI653.1,AI653.1,0,12,0,0,0,0,0,0,0,4979200f6aeb
AI,654,1,AI654.1,AI654.1,0,21,0,0,0,0,0,0,0,52736df65905
AI,655,1,AI655.1,AI655.1,0,19,0,0,0,0,0,0,0,6d289e9cbb2d
AI,656,1,AI656.1,AI656.1,0,7,0,0,0,0,0,0,0,c2a5363445e8
AI,656,2,AI656.2,AI656.2,0,19,0,0,0,0,0,0,0,9bc07e67a217
AI,657,1,AI657.1,AI657.1,0,16,0,0,0,0,0,0,0,41baf59dfcaa
AI,658,1,AI658.1,AI658.1,0,18,0,0,0,0,0,0,0,fa501a29fe20
AI,659,1,AI659.1,AI659.1,0,6,0,0,0,0,0,0,0,26259b6beca1
AI,660,1,AI660.1,AI660.1,0,10,0,0,0,1,0,0,0,47e92b282a02
AI,661,1,AI661.1,AI661.1,0,20,0,0,0,0,1,0,0,34db7372023b
AI,661,2,AI661.2,AI661.2,0,44,0,0,0,0,0,0,0,8c240de1ff86
AI,661,3,AI661.3,AI661.3,0,15,0,0,0,0,0,0,0,6ef303c7c5c9
AI,662,1,AI662.1,AI662.1,0,12,0,0,0,0,1,0,0,4c0d6f5caeb6
AI,663,1,AI663.1,AI663.1,0,8,0,0,0,0,0,0,0,17c591cc603e
AI,664,1,AI664.1,AI664.1,0,17,0,0,0,0,0,0,0,26f3c5544584
AI,664,2,AI664.2,AI664.2,0,3,0,0,0,0,0,0,0,0a26d06630a9
