jd_tt,year,month,day,date_julian_cal,weekday,kind,umbral_mag,penumbral_mag,beta_deg,delta_t_s,umbral_duration_h,irish_site,moon_alt_deg,frac_umbral_visible,visible_from_ireland
1874625.6931,420,6,12,0420-06-12,6,partial umbral,0.9985,1.9586,0.5001,6346.0,3.12,Clonmacnoise,11.3,0.6,True
1874802.86534,420,12,6,0420-12-06,1,partial umbral,0.0725,1.2,0.8546,6346.0,1.1,Clonmacnoise,17.6,1.0,True
1874951.07974,421,5,3,0421-05-03,2,penumbral,-0.5346,0.4615,1.2987,6336.0,0.0,,,0.0,False
1874980.40594,421,6,1,0421-06-01,3,penumbral,-0.37,0.6022,1.2431,6336.0,0.0,,,0.0,False
1875127.29045,421,10,26,0421-10-26,3,penumbral,-0.5397,0.513,1.2513,6336.0,0.0,,,0.0,False
1875156.92139,421,11,25,0421-11-25,5,penumbral,-1.065,0.0233,1.4732,6336.0,0.0,,,0.0,False
1875305.50542,422,4,23,0422-04-23,0,partial umbral,0.7455,1.7994,0.563,6327.0,3.06,Clonmacnoise,23.0,1.0,True
1875481.79614,422,10,16,0422-10-16,1,partial umbral,0.8476,1.8469,0.5665,6327.0,2.98,Clonmacnoise,27.0,0.88,True
1875659.6298,423,4,12,0423-04-12,4,total,1.5488,2.6445,0.1379,6317.0,3.9,Clonmacnoise,27.4,1.0,True
1875836.4574,423,10,5,0423-10-05,5,total,1.6535,2.6371,0.1291,6317.0,3.51,Clonmacnoise,38.8,1.0,True
1876013.64371,424,3,31,0424-03-31,1,partial umbral,0.1992,1.289,0.8091,6308.0,1.77,Clonmacnoise,31.0,1.0,True
1876191.07925,424,9,24,0424-09-24,3,partial umbral,0.3253,1.3385,0.8336,6308.0,2.05,,-90.0,0.0,False
1876338.36508,425,2,18,0425-02-18,3,penumbral,-0.2537,0.7684,1.1331,6298.0,0.0,,,0.0,False
1876367.85209,425,3,20,0425-03-20,5,penumbral,-1.0292,0.0138,1.4979,6298.0,0.0,,,0.0,False
1876515.87594,425,8,15,0425-08-15,6,penumbral,-0.38,0.7038,1.1044,6298.0,0.0,,,0.0,False
1876692.95951,426,2,8,0426-02-08,1,total,1.1089,2.0946,0.4309,6289.0,3.23,,-90.0,0.0,False
1876869.90457,426,8,4,0426-08-04,3,partial umbral,0.9391,2.0378,0.4359,6289.0,3.45,,-90.0,0.0,False
1877047.62834,427,1,29,0427-01-29,6,total,1.3998,2.3928,0.2659,6279.0,3.43,Clonmacnoise,53.9,1.0,True
1877223.9877,427,7,24,0427-07-24,0,total,1.3386,2.4023,0.256,6279.0,3.7,,-90.0,0.0,False
1877402.1755,428,1,18,0428-01-18,3,partial umbral,0.0441,1.0857,0.9583,6270.0,0.8,,-90.0,0.0,False
1877549.01259,428,6,13,0428-06-13,3,penumbral,-0.9443,0.0345,1.5467,6270.0,0.0,,,0.0,False
1877578.35829,428,7,12,0428-07-12,4,partial umbral,0.0121,1.0178,0.9928,6270.0,0.42,,-90.0,0.0,False
1877726.67787,428,12,8,0428-12-08,6,penumbral,-0.4926,0.6313,1.1365,6270.0,0.0,,,0.0,False
