date_julian_cal,year,weekday,type,kind,magnitude,best_site,diagnostic,why,note
0776-10-02,776,3,lunar,partial umbral,0.143,Clonmacnoise,blind,,"Moon 17.1 deg up, 1.0 of umbral phase in a dark sky"
0777-03-28,777,5,lunar,total,1.357,Clonmacnoise,blind,,"Moon 30.2 deg up, 1.0 of umbral phase in a dark sky"
0777-09-21,777,0,lunar,total,1.406,Clonmacnoise,blind,,"Moon 35.4 deg up, 1.0 of umbral phase in a dark sky"
0778-03-17,778,2,lunar,partial umbral,0.958,Clonmacnoise,blind,,"Moon 34.9 deg up, 1.0 of umbral phase in a dark sky"
0779-08-16,779,1,solar,partial,0.552,Clonmacnoise,blind,,UT 10:03 at Armagh
0781-01-15,781,1,lunar,total,1.593,Clonmacnoise,blind,,"Moon 56.9 deg up, 1.0 of umbral phase in a dark sky"
0782-06-15,782,6,solar,partial,0.638,Clonmacnoise,blind,,UT 18:51 at Armagh
0782-06-29,782,,lunar,partial umbral,0.6375,-,borrowed-if-recorded,not visible from Ireland; visible from the Mediterranean,below the Irish horizon throughout the umbral phase
0784-05-09,784,0,lunar,total,1.164,Clonmacnoise,blind,,"Moon 12.8 deg up, 0.48 of umbral phase in a dark sky"
0784-11-02,784,2,lunar,total,1.249,Clonmacnoise,blind,,"Moon 52.4 deg up, 1.0 of umbral phase in a dark sky"
0785-10-22,785,,lunar,total,1.1936,-,borrowed-if-recorded,not visible from Ireland; visible from the Mediterranean,below the Irish horizon throughout the umbral phase
0787-03-08,787,4,lunar,partial umbral,0.042,Armagh,blind,,"Moon 9.0 deg up, 0.64 of umbral phase in a dark sky"
0787-09-16,787,0,solar,partial,0.646,Clonmacnoise,blind,,UT 06:57 at Armagh
0788-02-26,788,2,lunar,total,1.481,Clonmacnoise,blind,,"Moon 40.4 deg up, 1.0 of umbral phase in a dark sky"
0788-08-21,788,,lunar,total,1.4553,-,borrowed-if-recorded,not visible from Ireland; visible from the Mediterranean,below the Irish horizon throughout the umbral phase
0789-02-14,789,6,lunar,partial umbral,0.983,Armagh,blind,,"Moon 19.8 deg up, 0.56 of umbral phase in a dark sky"
0789-08-10,789,,lunar,partial umbral,0.8429,-,borrowed-if-recorded,not visible from Ireland; visible from the Mediterranean,below the Irish horizon throughout the umbral phase
0790-12-26,790,0,lunar,partial umbral,0.176,Iona,local-if-recorded,"above the Irish horizon, below the Mediterranean one","Moon 5.5 deg up, 0.12 of umbral phase in a dark sky"
0791-06-20,791,,lunar,partial umbral,0.7036,-,borrowed-if-recorded,not visible from Ireland; visible from the Mediterranean,below the Irish horizon throughout the umbral phase
0795-04-09,795,4,lunar,total,1.236,Clonmacnoise,blind,,"Moon 20.8 deg up, 0.56 of umbral phase in a dark sky"
0795-10-03,795,6,lunar,total,1.349,Clonmacnoise,blind,,"Moon 20.4 deg up, 0.56 of umbral phase in a dark sky"
0796-03-28,796,1,lunar,total,1.063,Clonmacnoise,blind,,"Moon 15.2 deg up, 0.36 of umbral phase in a dark sky"
0796-09-21,796,3,lunar,total,1.072,Armagh,blind,,"Moon 24.4 deg up, 0.68 of umbral phase in a dark sky"
0798-02-05,798,1,lunar,partial umbral,0.351,Iona,blind,,"Moon 13.9 deg up, 0.52 of umbral phase in a dark sky"
0798-02-20,798,2,solar,partial,0.833,Iona,local-if-recorded,"deep over Ireland, shallow in the Mediterranean",UT 17:51 at Armagh
0800-01-15,800,3,lunar,partial umbral,0.829,Armagh,blind,,"Moon 44.7 deg up, 1.0 of umbral phase in a dark sky"
0800-07-10,800,5,lunar,partial umbral,0.774,Clonmacnoise,blind,,"Moon 13.1 deg up, 0.64 of umbral phase in a dark sky"
0802-05-21,802,6,lunar,total,1.025,Clonmacnoise,blind,,"Moon 9.4 deg up, 0.28 of umbral phase in a dark sky"
0803-11-03,803,5,lunar,total,1.216,Clonmacnoise,blind,,"Moon 52.2 deg up, 1.0 of umbral phase in a dark sky"
0805-09-12,805,,lunar,partial umbral,0.0662,-,borrowed-if-recorded,not visible from Ireland; visible from the Mediterranean,below the Irish horizon throughout the umbral phase
0806-09-01,806,2,lunar,total,1.348,Clonmacnoise,blind,,"Moon 29.7 deg up, 1.0 of umbral phase in a dark sky"
0807-02-11,807,4,solar,deep partial,0.916,Bangor,blind,,UT 10:47 at Armagh
0807-02-26,807,5,lunar,total,1.037,Clonmacnoise,blind,,"Moon 43.7 deg up, 1.0 of umbral phase in a dark sky"
0807-08-21,807,6,lunar,partial umbral,0.962,Clonmacnoise,blind,,"Moon 24.9 deg up, 1.0 of umbral phase in a dark sky"
0809-01-05,809,5,lunar,partial umbral,0.161,Iona,blind,,"Moon 11.6 deg up, 0.64 of umbral phase in a dark sky"
0809-07-01,809,0,lunar,partial umbral,0.571,Clonmacnoise,blind,,"Moon 12.4 deg up, 0.68 of umbral phase in a dark sky"
0809-07-16,809,1,solar,partial,0.84,Iona,blind,,UT 09:36 at Armagh
0809-12-25,809,2,lunar,total,1.37,Armagh,blind,,"Moon 38.0 deg up, 1.0 of umbral phase in a dark sky"
0810-06-20,810,,lunar,total,1.8467,-,borrowed-if-recorded,not visible from Ireland; visible from the Mediterranean,below the Irish horizon throughout the umbral phase
0810-11-30,810,6,solar,partial,0.876,Iona,blind,,UT 10:24 at Armagh
0810-12-14,810,6,lunar,total,1.021,Iona,blind,,"Moon 30.4 deg up, 0.88 of umbral phase in a dark sky"
0812-10-23,812,6,lunar,partial umbral,0.073,Clonmacnoise,blind,,"Moon 45.5 deg up, 1.0 of umbral phase in a dark sky"
0813-05-04,813,3,solar,partial,0.584,Iona,blind,,UT 04:34 at Armagh
0813-10-13,813,,lunar,total,1.3036,-,borrowed-if-recorded,not visible from Ireland; visible from the Mediterranean,below the Irish horizon throughout the umbral phase
0814-09-17,814,0,solar,partial,0.514,Iona,blind,,UT 13:31 at Armagh
0814-10-03,814,2,lunar,total,1.123,Clonmacnoise,blind,,"Moon 37.4 deg up, 1.0 of umbral phase in a dark sky"
0816-02-17,816,0,lunar,partial umbral,0.308,Clonmacnoise,blind,,"Moon 47.0 deg up, 1.0 of umbral phase in a dark sky"
0817-02-05,817,4,lunar,total,1.538,Armagh,blind,,"Moon 20.0 deg up, 0.52 of umbral phase in a dark sky"
0817-07-31,817,5,lunar,total,1.436,Clonmacnoise,blind,,"Moon 18.8 deg up, 0.92 of umbral phase in a dark sky"
0818-01-26,818,2,lunar,partial umbral,0.849,Clonmacnoise,blind,,"Moon 42.2 deg up, 1.0 of umbral phase in a dark sky"
0818-07-07,818,3,solar,partial,0.771,Iona,blind,,UT 05:38 at Armagh
0820-11-23,820,5,lunar,total,1.231,Armagh,blind,,"Moon 39.6 deg up, 1.0 of umbral phase in a dark sky"
0820-12-09,820,0,solar,partial,0.547,Iona,blind,,UT 08:59 at Armagh
0821-05-20,821,1,lunar,total,1.415,Clonmacnoise,blind,,"Moon 9.5 deg up, 0.24 of umbral phase in a dark sky"
0821-11-13,821,3,lunar,total,1.23,Clonmacnoise,local-if-recorded,"above the Irish horizon, below the Mediterranean one","Moon 12.4 deg up, 0.32 of umbral phase in a dark sky"
0822-11-03,822,1,lunar,partial umbral,0.022,Clonmacnoise,blind,,"Moon 51.5 deg up, 1.0 of umbral phase in a dark sky"
0824-03-18,824,5,lunar,total,1.345,Clonmacnoise,blind,,"Moon 22.2 deg up, 0.64 of umbral phase in a dark sky"
0824-09-12,824,1,lunar,total,1.255,Clonmacnoise,blind,,"Moon 17.1 deg up, 0.4 of umbral phase in a dark sky"
0824-09-26,824,1,solar,partial,0.565,Iona,blind,,UT 11:12 at Armagh
0825-09-01,825,5,lunar,total,1.069,Clonmacnoise,blind,,"Moon 13.1 deg up, 0.32 of umbral phase in a dark sky"
0827-01-17,827,4,lunar,partial umbral,0.137,Clonmacnoise,blind,,"Moon 55.6 deg up, 1.0 of umbral phase in a dark sky"
0827-07-27,827,6,solar,partial,0.579,Clonmacnoise,blind,,UT 18:10 at Armagh
0828-01-06,828,1,lunar,total,1.353,Clonmacnoise,blind,,"Moon 57.8 deg up, 1.0 of umbral phase in a dark sky"
0828-07-01,828,3,lunar,total,1.811,Clonmacnoise,blind,,"Moon 11.6 deg up, 0.48 of umbral phase in a dark sky"
0828-12-25,828,5,lunar,total,1.034,Clonmacnoise,blind,,"Moon 60.1 deg up, 1.0 of umbral phase in a dark sky"
0829-06-20,829,,lunar,partial umbral,0.5686,-,borrowed-if-recorded,not visible from Ireland; visible from the Mediterranean,below the Irish horizon throughout the umbral phase
0829-11-30,829.0,2.0,solar,partial,0.0,-,borrowed-if-recorded,"deep in the Mediterranean, effectively invisible from Ireland","Mediterranean magnitude high, Irish magnitude below 0.20"
