year,first,lunar_date,lunar_umbral_mag,lunar_total,solar_date,solar_irish_mag,gap_days
693,lunar,0693-09-20,0.051,False,0693-10-05,0.793,15.1
697,lunar,0697-07-09,0.75,False,0697-07-23,0.568,13.96
698,solar,0698-12-23,0.86,False,0698-12-08,0.908,14.48
706,solar,0706-07-30,0.642,False,0706-07-14,0.813,15.49
713,solar,0713-03-17,0.698,False,0713-03-01,0.927,15.51
720,solar,0720-10-21,0.919,False,0720-10-06,0.851,14.42
730,lunar,0730-10-01,1.343,True,0730-10-16,0.594,15.57
737,lunar,0737-05-18,1.104,True,0737-06-03,0.734,15.42
753,solar,0753-01-24,0.908,False,0753-01-09,0.865,14.58
760,solar,0760-08-31,0.933,False,0760-08-15,0.724,15.54
767,solar,0767-04-19,1.008,True,0767-04-03,0.511,15.44
798,lunar,0798-02-05,0.351,False,0798-02-20,0.833,14.92
807,solar,0807-02-26,1.037,True,0807-02-11,0.916,14.67
809,lunar,0809-07-01,0.571,False,0809-07-16,0.84,15.32
810,solar,0810-12-14,1.021,True,0810-11-30,0.876,14.29
814,solar,0814-10-03,1.123,True,0814-09-17,0.514,15.57
820,lunar,0820-11-23,1.231,True,0820-12-09,0.547,15.6
824,lunar,0824-09-12,1.255,True,0824-09-26,0.565,14.25
835,lunar,0835-02-17,1.494,True,0835-03-03,0.531,14.18
849,lunar,0849-05-11,0.816,False,0849-05-25,0.936,14.78
852,lunar,0852-03-09,0.191,False,0852-03-24,0.857,14.78
854,solar,0854-08-12,1.143,True,0854-07-28,0.828,14.22
861,solar,0861-03-30,1.27,True,0861-03-15,0.71,14.76
863,lunar,0863-08-03,0.212,False,0863-08-18,0.68,15.24
865,solar,0865-01-15,1.075,True,0865-01-01,0.999,14.2
868,solar,0868-11-04,1.21,True,0868-10-19,0.636,15.59
875,lunar,0874-12-26,1.228,True,0875-01-11,0.647,15.59
878,lunar,0878-10-15,1.054,True,0878-10-29,1.025,14.37
894,solar,0894-06-22,0.602,False,0894-06-07,0.864,14.56
908,solar,0908-09-13,1.415,True,0908-08-29,0.656,14.35
919,solar,0919-02-17,1.203,True,0919-02-03,0.561,14.11
922,solar,0922-12-07,1.23,True,0922-11-21,0.656,15.58
932,lunar,0932-11-16,0.956,False,0932-11-30,0.727,14.48
934,solar,0934-05-02,0.328,False,0934-04-16,0.961,15.45
936,lunar,0936-09-04,1.132,True,0936-09-18,0.566,14.43
966,solar,0966-08-04,1.205,True,0966-07-20,0.832,14.4
968,lunar,0968-12-07,0.926,False,0968-12-22,0.98,14.55
983,lunar,0983-03-02,1.073,True,0983-03-17,0.506,15.49
988,solar,0988-06-03,0.708,False,0988-05-18,0.641,15.49
990,lunar,0990-10-07,0.935,False,0990-10-21,0.81,14.35
1013,solar,1013-01-30,1.285,True,1013-01-14,0.673,15.51
1017,solar,1017-11-06,0.412,False,1017-10-22,0.575,15.27
1020,solar,1020-09-04,1.558,True,1020-08-21,0.515,14.31
1023,lunar,1023-01-09,0.882,False,1023-01-24,0.998,14.65
1030,lunar,1030-08-16,0.881,False,1030-08-31,0.825,15.55
1037,lunar,1037-04-02,0.845,False,1037-04-18,0.935,15.41
1044,lunar,1044-11-08,0.837,False,1044-11-22,0.88,14.28
1052,lunar,1052-06-15,1.467,True,1052-06-29,0.61,14.12
1060,solar,1060-07-16,1.244,True,1060-06-30,0.506,15.53
1077,lunar,1077-02-10,0.776,False,1077-02-25,0.697,14.74
1084,lunar,1084-09-17,0.625,False,1084-10-02,0.853,15.57
1098,lunar,1098-12-11,0.801,False,1098-12-25,0.696,14.21
1124,lunar,1124-07-28,0.848,False,1124-08-11,0.76,14.27
1125,solar,1126-01-11,0.438,False,1125-12-26,0.617,15.43
1138,lunar,1138-10-20,0.486,False,1138-11-04,0.594,15.58
1140,solar,1140-04-04,0.421,False,1140-03-20,0.977,14.66
1153,lunar,1153-01-12,0.77,False,1153-01-26,0.751,14.13
1176,solar,1176-04-25,0.68,False,1176-04-11,0.577,14.56
1178,lunar,1178-08-30,0.466,False,1178-09-13,0.894,14.41
1180,solar,1180-02-13,0.501,False,1180-01-28,0.945,15.48
1192,lunar,1192-11-21,0.442,False,1192-12-06,0.765,15.56
1194,solar,1194-05-07,0.824,False,1194-04-22,0.699,14.51
